Year,Bank,Gross_NPA_Opening,Gross_NPA_Addition,Gross_NPA_Reduction,Gross_NPA_WriteOff,Gross_NPA_Closing,Net_NPA_Opening,Net_NPA_Closing,Normalized_Likelihood,Normalized_Impact,Calculated_Closing,Data_Consistency_Issue,Risk_Category
2024,STATE BANK OF INDIA,90927.78,20316.9,10806.98,16161.37,84276.33,21466.64,21051.08,1.0,2.0,84276.33,False,Low
2023,STATE BANK OF INDIA,112023.37,18420.64,15454.96,24061.27,90927.78,27965.71,21466.64,1.0,3.0,90927.77999999998,False,Moderate
2022,STATE BANK OF INDIA,126389.02,25021.23,19720.66,19666.22,112023.37,36809.72,27965.71,2.0,3.0,112023.37,False,High
2021,STATE BANK OF INDIA,149091.85,28563.45,16864.08,34402.2,126389.02,51871.3,36809.72,2.0,3.0,126389.02000000003,False,High
2020,STATE BANK OF INDIA,172750.36,49826.28,21122.42,52362.37,149091.85,65894.74,51871.3,2.0,4.0,149091.84999999998,False,Very High
2019,STATE BANK OF INDIA,223427.46,32738.05,24509.97,58905.18,172750.36,110854.7,65894.74,2.0,4.0,172750.36,False,Very High
2018,STATE BANK OF INDIA*,112342.99,160303.65,9023.76,40195.42,223427.46,58277.38,110854.7,5.0,5.0,223427.46000000002,False,Extreme
2017,STATE BANK OF INDIA,98172.8,39071.38,4331.39,20569.8,112342.99,55807.02,58277.38,2.0,3.0,112342.98999999998,False,High
2016,STATE BANK OF INDIA,56725.34,64198.49,6987.77,15763.26,98172.8,27590.58,55807.02,3.0,3.0,98172.79999999999,False,Very High
2015,STATE BANK OF INDIA,61605.35,29435.02,13011.57,21303.46,56725.34,31096.07,27590.58,2.0,2.0,56725.33999999999,False,Moderate
2014,STATE BANK OF INDIA,51189.39,41216.67,17918.21,12882.5,61605.35,21956.48,31096.07,2.0,2.0,61605.350000000006,False,Moderate
2013,STATE BANK OF INDIA,39676.46,31993.35,14885.65,5594.77,51189.39,15818.85,21956.48,2.0,2.0,51189.39,False,Moderate
2012,STATE BANK OF INDIA,25326.29,24712.22,9617.71,744.34,39676.46,12346.9,15818.85,2.0,2.0,39676.46000000001,False,Moderate
2011,STATE BANK OF INDIA,19534.89,18145.7,8347.45,4006.85,25326.29,10870.17,12346.9,1.0,1.0,25326.289999999997,False,Low
2010,STATE BANK OF INDIA,15714.0,11842.84,6031.47,1990.48,19534.89,9677.42,10870.17,1.0,1.0,19534.89,False,Low
2009,STATE BANK OF INDIA,12837.34,11140.21,8263.55,0.0,15714.0,7424.33,9677.42,1.0,1.0,0.0,False,Low
2008,STATE BANK OF INDIA,9998.22,7899.04,5059.92,0.0,12837.34,5257.72,7424.33,1.0,1.0,0.0,False,Low
2007,STATE BANK OF INDIA,9628.14,4963.87,4593.79,0.0,9998.22,4911.41,5257.72,1.0,1.0,0.0,False,Low
2006,STATE BANK OF INDIA,11656.99,4327.28,6356.13,0.0,9628.14,6303.34,4911.41,1.0,1.0,0.0,False,Low
2005,STATE BANK OF INDIA,12667.21,4284.6,3158.62,1337.46,12455.73,5441.73,5348.89,1.0,1.0,12455.73,False,Low
